"","old_genotype","leaf","mean_predicted_N","plant"
"169","Zdip-JSG-RMM-LCL-551_P3_P2_P1.2.1.1","e1",3.37385703949133,"C, BD"
"170","Zdip-JSG-RMM-LCL-551_P3_P2_P1.2.1.1","e2",3.60787221877983,"C, BD"
"171","Zdip-JSG-RMM-LCL-551_P3_P2_P1.2.1.1","e3",3.47738370350037,"C, BD"
"172","Zdip-JSG-RMM-LCL-551_P3_P2_P2.3.1.1","e1",3.50958696220831,"C, BD"
"173","Zdip-JSG-RMM-LCL-551_P3_P2_P2.3.1.1","e2",3.32453112985905,"C, BD"
"174","Zdip-JSG-RMM-LCL-551_P3_P2_P2.3.1.1","e3",3.29286153189655,"C, BD"
"175","Zdip-JSG-RMM-LCL-551_P3_P2_P3.2.1.1","e1",3.22913755538677,"C, BD"
"176","Zdip-JSG-RMM-LCL-551_P3_P2_P3.2.1.1","e2",3.40212646910019,"C, BD"
"177","Zdip-JSG-RMM-LCL-551_P3_P2_P3.2.1.1","e3",3.43725679531542,"C, BD"
"178","Zdip-JSG-RMM-LCL-551_P3_P3_P1.1.1.1","e1",2.4709907923848,"C, BD"
"179","Zdip-JSG-RMM-LCL-551_P3_P3_P1.1.1.1","e2",2.82536419309158,"C, BD"
"180","Zdip-JSG-RMM-LCL-551_P3_P3_P1.1.1.1","e3",2.80948854789615,"C, BD"
"181","Zdip-JSG-RMM-LCL-551_P3_P3_P3.1.1.1","e1",3.04948201955323,"C, BD"
"182","Zdip-JSG-RMM-LCL-551_P3_P3_P3.1.1.1","e2",3.85205407089711,"C, BD"
"183","Zdip-JSG-RMM-LCL-551_P3_P3_P3.1.1.1","e3",3.89108234467253,"C, BD"
"184","Zdip-JSG-RMM-LCL-551_P3_P4_P1.1.1.1","e1",2.91267980630196,"C, BD"
"185","Zdip-JSG-RMM-LCL-551_P3_P4_P1.1.1.1","e2",3.59828463586753,"C, BD"
"186","Zdip-JSG-RMM-LCL-551_P3_P4_P1.1.1.1","e3",3.52184861574283,"C, BD"
"187","Zdip-JSG-RMM-LCL-551_P3_P4_P2.1.1.1","e1",3.03604271644965,"C, BD"
"188","Zdip-JSG-RMM-LCL-551_P3_P4_P2.1.1.1","e2",3.20028991742505,"C, BD"
"189","Zdip-JSG-RMM-LCL-551_P3_P4_P2.1.1.1","e3",3.03777026039564,"C, BD"
"190","Zdip-JSG-RMM-LCL-551_P3_P4_P3.1.1.1","e1",3.1632649777879,"C, BD"
"191","Zdip-JSG-RMM-LCL-551_P3_P4_P3.1.1.1","e2",3.49081127623232,"C, BD"
"192","Zdip-JSG-RMM-LCL-551_P3_P4_P3.1.1.1","e3",3.91856995482952,"C, BD"
"193","Zdip-JSG-RMM-LCL-551_P3_P5_P2.1.1.1","e1",1.52869016213565,"C, BD"
"194","Zdip-JSG-RMM-LCL-551_P3_P5_P2.1.1.1","e2",1.88064553418826,"C, BD"
"195","Zdip-JSG-RMM-LCL-551_P3_P5_P2.1.1.1","e3",3.78017202299552,"C, BD"
"196","Zdip-JSG-RMM-LCL-551_P3_P5_P3.1.1.1","e1",3.19476674083692,"C, BD"
"197","Zdip-JSG-RMM-LCL-551_P3_P5_P3.1.1.1","e2",3.28025498914144,"C, BD"
"198","Zdip-JSG-RMM-LCL-551_P3_P5_P3.1.1.1","e3",2.90849263737732,"C, BD"
